Unnamed: 0,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
7,6647296,0.0382050468361226,0.7335770365502478,AIBL,121,1,RIMR,"['RIBR', 'AIBL']"
8,6647157,0.0,0.6112479535850536,AIBL,121,1,RIBR,"['AIBL', 'AVER', 'AVDL']"
9,6647158,0.0,0.6112479535850536,AIBL,121,1,RIBR,"['AIBL', 'AVER']"
10,6647150,0.0,0.608413535829628,AIBL,121,1,RIBR,"['RIGR', 'AIBL', 'AVER']"
11,6647008,0.0135462487526236,0.5556744936962852,AIBL,121,1,PVT,"['AVKR', 'AIBL']"
12,6647005,0.0,0.917044657320584,AIBL,121,1,PVT,"['AIBR', 'RIR', 'AIBL']"
13,6646435,0.0048792311080054,0.6516055939415064,AIBL,121,1,DVC,"['AIBL', 'RIGR']"
14,6646403,0.0,0.5887303954843169,AIBL,121,1,DVA,"['AIBL', 'AVER']"
15,6375410,0.0,0.2123733246565607,AIBL,121,1,AWCR,"['AIBL', 'AIYL']"
16,6375405,0.0,0.1984346754568478,AIBL,121,1,AWCR,"['AIYL', 'AIBL', 'BAGR']"
17,6375399,0.0093970985597312,0.4001513690797091,AIBL,121,1,AWCL,"['ASER', 'AIAL', 'AIBL']"
18,6375390,0.0,0.1811206195629968,AIBL,121,1,AWCL,"['AIBL', 'AIYL', 'ASER']"
19,6375385,0.0,0.1043231941885902,AIBL,121,1,AWCL,"['AIBL', 'AIAL']"
20,6375054,0.0,0.0939716298327028,AIBL,121,1,ASHL,"['AIBL', 'AIAL']"
21,6375047,0.0,0.080359971435002,AIBL,121,1,ASHL,"['AIAL', 'AIBL']"
22,6375031,0.0,0.0939716298327028,AIBL,121,1,ASGL,"['AIBL', 'AIAL']"
23,6375026,0.0026755683342224,0.4001513690797091,AIBL,121,1,ASER,"['AIBL', 'AIYL']"
24,6375022,0.0093970985597312,0.4001513690797091,AIBL,121,1,ASER,"['AWCL', 'AIBL']"
25,6375020,0.0,0.1984346754568478,AIBL,121,1,ASER,"['AIYL', 'AIBL', 'BAGR']"
26,6375027,0.0211074740717732,0.4001513690797091,AIBL,121,1,ASER,"['AIYL', 'AIBL']"
27,6375007,0.0221723322196563,0.1112205692409546,AIBL,121,1,ASEL,"['AIYL', 'AIBL']"
28,6375006,0.0,0.3795088484603625,AIBL,121,1,ASEL,"['AIYL', 'AIBL']"
29,6375004,0.0,0.2004319139841097,AIBL,121,1,ASEL,"['AIBL', 'AIYL']"
30,6375003,0.0,0.195463000035067,AIBL,121,1,ASEL,"['AIBL', 'AIYL']"
31,6375002,0.0,0.1831178580902587,AIBL,121,1,ASEL,"['AIBL', 'AIYL']"
32,6375001,0.0131386386958274,0.1112205692409546,AIBL,121,1,ASEL,"['AIYL', 'AWCL', 'AIBL']"
33,6374973,0.0,0.917044657320584,AIBL,121,1,AIZR,"['RIMR', 'AIBL', 'AVEL']"
34,6374972,0.0,0.9011907175399688,AIBL,121,1,AIZR,"['AIBL', 'AVEL']"
35,6374971,0.0,0.4795491926396386,AIBL,121,1,AIZR,"['AVER', 'AIBL']"
36,6374966,0.0,0.2270684041416827,AIBL,121,1,AIZL,"['AIAL', 'AIAL', 'AIBL']"
37,6374847,0.0088652832630103,0.7335770365502478,AIBL,121,0,AIBL,"['RIMR', 'AVBL']"
38,6374846,0.0,0.5771108859961023,AIBL,121,0,AIBL,"['SMDVR', 'RIMR']"
39,6374845,0.0009844999554791,0.7335770365502478,AIBL,121,0,AIBL,"['RIMR', 'AVBL']"
40,6374844,0.0,0.4599735233045321,AIBL,121,0,AIBL,"['RIBL', 'RIBR']"
41,6374842,0.0,0.5419261955359395,AIBL,121,0,AIBL,"['RIMR', 'SMDVR']"
42,6374841,0.0,0.5312840793913126,AIBL,121,0,AIBL,"['RIMR', 'SMDVR']"
43,6374840,0.007405667837485,0.635448920456775,AIBL,121,0,AIBL,['RIBR']
44,6374839,0.0,0.6280637853281336,AIBL,121,0,AIBL,['RIBR']
45,6374838,0.0,0.7066047393944723,AIBL,121,0,AIBL,"['RIMR', 'RIBR', 'AVBL']"
46,6374834,0.0,0.9365582698223748,AIBL,121,0,AIBL,"['RIML', 'SMDDR']"
47,6374833,0.0,0.9192110129217664,AIBL,121,0,AIBL,"['SMDDR', 'RIMR']"
48,6374836,0.0,0.9091478177731698,AIBL,121,0,AIBL,"['SMDDR', 'RIMR']"
49,6374810,0.0,0.3278420322597629,AIBL,121,1,AIAL,"['AIBL', 'ASKL']"
50,6374808,0.0036944716207103,0.4001513690797091,AIBL,121,1,AIAL,"['PVQL', 'AIBL']"
51,6374807,0.0111248889694749,0.4001513690797091,AIBL,121,1,AIAL,"['AIBL', 'AWCL']"
52,6374804,0.0,0.2228337800128452,AIBL,121,1,AIAL,"['AIBL', 'ADAL']"
53,6374803,0.0,0.2123733246565607,AIBL,121,1,AIAL,"['AWCR', 'AIBL']"
54,6374802,0.0,0.2004319139841097,AIBL,121,1,AIAL,"['ASKL', 'ASHL', 'AIBL']"
55,6374800,0.0,0.0638597805038056,AIBL,121,1,AIAL,"['AIBL', 'ASKL', 'ADAL', 'RIFL']"
56,6374792,0.0,0.0405204141003497,AIBL,121,1,AIAL,"['ADAL', 'AIBL', 'RIFL']"
57,6374766,0.0,0.189587082628195,AIBL,121,1,ADLL,"['ASEL', 'AIBL']"
58,6374760,0.0,0.2228337800128452,AIBL,121,1,ADLL,"['AIBL', 'ADAL', 'ASEL']"
59,6374759,0.0,0.2064131957301424,AIBL,121,1,ADLL,"['ADAL', 'ASEL', 'AIBL']"
60,6374755,0.0,0.1693303448439922,AIBL,121,1,ADLL,"['AVDR', 'AIBL']"
0,9652675,0.0,0.5651415225476617,AIBR,121,1,AIZL,"['RIML', 'AIBR']"
1,6647288,0.0137785262257001,0.723578303235702,AIBR,121,1,RIML,"['AIBR', 'AVBR', 'RIBL']"
2,6647278,0.0069274956243636,0.7470871802351116,AIBR,121,1,RIML,"['AIBR', 'AVBR', 'RIGL']"
3,6647199,0.0021690984014976,0.6450067670718171,AIBR,121,1,RIGL,"['RIBL', 'URYDL', 'AIBR']"
4,6647164,0.0,0.7987196143178854,AIBR,121,1,RICL,"['AVAR', 'AIBR']"
5,6647005,0.0,0.9032040406309128,AIBR,121,1,PVT,"['AIBR', 'RIR', 'AIBL']"
6,6646433,0.0028753692275403,0.9554434264945112,AIBR,121,1,DVC,"['AVAR', 'AIBR']"
7,6375412,0.0,0.2050449545747469,AIBR,121,1,AWCR,"['AIYR', 'AIBR']"
8,6375411,0.0,0.2462426430200489,AIBR,121,1,AWCR,"['AIBR', 'AIYR']"
