,dist_from_root,length,project,leafnode,n_synapse
211,0.8930100761462109,0.05179873346785383,SEM adult,8406969,4
212,0.896592397109058,0.023019488256175176,L1 16hr,4347749,0
213,0.8985046040579712,0.03480764945211752,daf-2 dauer,10639488,1
214,0.9069780879637243,0.03679478508289396,N2 dauer (Stigloher3),16680474,2
215,0.9092524311339855,0.04625638202196871,SEM adult,8392953,0
216,0.9128308996432487,0.035645918911347226,N2 dauer (Stigloher3),9520174,0
217,0.9156524034750486,0.045773264905193775,N2 dauer (Stigloher3),9527523,1
218,0.9166817982010541,0.03268170694651609,SEM adult,8392942,0
219,0.9171646838762472,0.059475696111840545,L3,7059255,5
220,0.9216310662833481,0.021025620721417143,L1 16hr,4347762,0
221,0.9285378022875468,0.06269794331761702,N2 dauer (Stigloher2),8545120,2
222,0.9406001108409361,0.009811095344326252,SEM adult,8406905,0
223,0.9458088395451021,0.05160848469475978,L2,4937316,0
224,0.9622039414978704,0.01904981446924913,SEM adult,8392936,0
225,0.9707226158653101,0.02621312962146557,L2,4937331,1
226,0.9828008008672714,0.012031256814377526,N2 dauer (Stigloher3),9527584,0
